center,batchNo,controller_code,controller_name,controller_contact,controller_email,controller_pass,district
1051,100,12345,Tanuj Chavan,999999999,tcchavan99@gmail.com,mock,demo
1151,100,12346,Shubham Shejaval,123456789,shubham@gmail.com,mock,Dholakpur
1251,100,,,,,mock,
1351,100,,,,,mock,
1451,100,,,,,mock,
1551,100,,,,,mock,
1552,100,,,,,mock,
1651,100,,,,,mock,
2151,100,,,,,mock,
2251,100,,,,,mock,
2351,100,,,,,mock,
3151,100,,,,,mock,
3152,100,,,,,mock,
3251,100,,,,,mock,
3351,100,,,,,mock,
4151,100,,,,,mock,
4251,100,,,,,mock,
4351,100,,,,,mock,
4451,100,,,,,mock,
4551,100,,,,,mock,
5151,100,,,,,mock,
5152,100,,,,,mock,
5251,100,,,,,mock,
5351,100,,,,,mock,
5451,100,,,,,mock,
5551,100,,,,,mock,
6151,100,,,,,mock,
6251,100,,,,,mock,
6351,100,,,,,mock,
6451,100,,,,,mock,
6551,100,,,,,mock,
6552,100,,,,,mock,
7151,100,,,,,mock,
7251,100,,,,,mock,
7351,100,,,,,mock,
7451,100,,,,,mock,
7551,100,,,,,mock,
7651,100,,,,,mock,
8151,100,,,,,mock,
8251,100,,,,,mock,
8351,100,,,,,mock,
1051,101,,,,,52465152,
1151,101,,,,,41444222,
1251,101,,,,,15141523,
1351,101,,,,,35452364,
1451,101,,,,,33116562,
1551,101,,,,,22141651,
1552,101,,,,,65325163,
1651,101,,,,,25516321,
2151,101,,,,,25615531,
2251,101,,,,,22143222,
2351,101,,,,,51565221,
3151,101,,,,,44646522,
3152,101,,,,,43142542,
3251,101,,,,,62143115,
3351,101,,,,,33253622,
4151,101,,,,,41361132,
4251,101,,,,,64162663,
4351,101,,,,,12613615,
4451,101,,,,,16325255,
4551,101,,,,,35314114,
5151,101,,,,,54262346,
5152,101,,,,,31124411,
5251,101,,,,,66263344,
5351,101,,,,,42464325,
5451,101,,,,,64431232,
5551,101,,,,,26531116,
6151,101,,,,,61233412,
6251,101,,,,,56253113,
6351,101,,,,,53115625,
6451,101,,,,,35462613,
6551,101,,,,,13326133,
6552,101,,,,,24441612,
7151,101,,,,,34451115,
7251,101,,,,,32316225,
7351,101,,,,,26115331,
7451,101,,,,,41136124,
7551,101,,,,,44112156,
7651,101,,,,,35314116,
8151,101,,,,,35161363,
8251,101,,,,,11151425,
8351,101,,,,,43325543,
1051,102,,,,,11661136,
1151,102,,,,,64626454,
1251,102,,,,,42352626,
1351,102,,,,,52326551,
1451,102,,,,,34144545,
1551,102,,,,,65344311,
1552,102,,,,,51255234,
1651,102,,,,,55426515,
2151,102,,,,,32414144,
2251,102,,,,,21123611,
2351,102,,,,,21161662,
3151,102,,,,,36133522,
3152,102,,,,,34126424,
3251,102,,,,,26535115,
3351,102,,,,,64126433,
4151,102,,,,,26664515,
4251,102,,,,,35323261,
4351,102,,,,,32235313,
4451,102,,,,,11533536,
4551,102,,,,,25315463,
5151,102,,,,,21314241,
5152,102,,,,,53351454,
5251,102,,,,,21324464,
5351,102,,,,,42351411,
5451,102,,,,,15122633,
5551,102,,,,,64351416,
6151,102,,,,,36325445,
6251,102,,,,,31226353,
6351,102,,,,,63255133,
6451,102,,,,,51135256,
6551,102,,,,,61414145,
6552,102,,,,,44231466,
7151,102,,,,,31552521,
7251,102,,,,,53154223,
7351,102,,,,,63234562,
7451,102,,,,,46454533,
7551,102,,,,,11256443,
7651,102,,,,,65121166,
8151,102,,,,,33432656,
8251,102,,,,,55133321,
8351,102,,,,,23151351,
1051,103,,,,,32323454,
1151,103,,,,,31353464,
1251,103,,,,,56436334,
1351,103,,,,,14533426,
1451,103,,,,,11224536,
1551,103,,,,,25331611,
1552,103,,,,,41211645,
1651,103,,,,,41456541,
2151,103,,,,,44224152,
2251,103,,,,,41312152,
2351,103,,,,,12524364,
3151,103,,,,,42362465,
3152,103,,,,,26624555,
3251,103,,,,,25146634,
3351,103,,,,,14324565,
4151,103,,,,,26122562,
4251,103,,,,,54122515,
4351,103,,,,,22216655,
4451,103,,,,,11456121,
4551,103,,,,,14522411,
5151,103,,,,,34233361,
5152,103,,,,,16632155,
5251,103,,,,,14165143,
5351,103,,,,,36344136,
5451,103,,,,,14415531,
5551,103,,,,,26363265,
6151,103,,,,,35451251,
6251,103,,,,,65166431,
6351,103,,,,,45121341,
6451,103,,,,,32341453,
6551,103,,,,,15543533,
6552,103,,,,,22661624,
7151,103,,,,,51354426,
7251,103,,,,,64361353,
7351,103,,,,,62516333,
7451,103,,,,,14266644,
7551,103,,,,,53253352,
7651,103,,,,,22265433,
8151,103,,,,,64411155,
8251,103,,,,,53641365,
8351,103,,,,,31442144,
1051,104,,,,,36642162,
1151,104,,,,,44166214,
1251,104,,,,,53436266,
1351,104,,,,,11663433,
1451,104,,,,,44211641,
1551,104,,,,,44426465,
1552,104,,,,,54645225,
1651,104,,,,,34453366,
2151,104,,,,,25424144,
2251,104,,,,,46136616,
2351,104,,,,,23655555,
3151,104,,,,,36264534,
3152,104,,,,,23125526,
3251,104,,,,,36644344,
3351,104,,,,,33125266,
4151,104,,,,,63316625,
4251,104,,,,,54333563,
4351,104,,,,,22626133,
4451,104,,,,,61565344,
4551,104,,,,,54435346,
5151,104,,,,,65352236,
5152,104,,,,,25444532,
5251,104,,,,,45443513,
5351,104,,,,,12465243,
5451,104,,,,,42143455,
5551,104,,,,,34446456,
6151,104,,,,,21615161,
6251,104,,,,,53415552,
6351,104,,,,,53464543,
6451,104,,,,,33463533,
6551,104,,,,,45432555,
6552,104,,,,,61315654,
7151,104,,,,,52464335,
7251,104,,,,,23435213,
7351,104,,,,,14613625,
7451,104,,,,,22446342,
7551,104,,,,,51561332,
7651,104,,,,,36413654,
8151,104,,,,,21116116,
8251,104,,,,,33556563,
8351,104,,,,,26111131,
1051,105,,,,,61656246,
1151,105,,,,,43252425,
1251,105,,,,,31531246,
1351,105,,,,,36354421,
1451,105,,,,,35161223,
1551,105,,,,,44661342,
1552,105,,,,,36231144,
